Pfam keyword	Pfam term
DIOX	non-haem dioxygenase in morphine synthesis N-terminal
IpaD	Invasion plasmid antigen IpaD
RWD	RWD domain
MT	Microtubule-binding stalk of dynein motor
YebO	YebO-like protein
MP	Viral movement protein (MP)
YebF	YebF-like protein
YebG	YebG protein
SWIM	SWIM zinc finger
ZipA	ZipA, C-terminal FtsZ-binding domain
RebB	Killing trait
SWIB	SWIB/MDM2 domain
DUF1029	Protein of unknown function (DUF1029)
DUF1028	Family of unknown function (DUF1028)
RimM	RimM N-terminal domain
DUF1021	Protein of unknown function (DUF1021)
DUF1020	Protein of unknown function (DUF1020)
DUF1027	Protein of unknown function (DUF1027)
DUF1025	Possibl zinc metallo-peptidase
DUF1024	Protein of unknown function (DUF1024)
HtaA	Htaa
PHAT	PHAT
PrgI	PrgI family protein
PrgH	Type III secretion system protein PrgH-EprH (PrgH)
PrgU	PrgU-like protein
DUF3827	Domain of unknown function (DUF3827)
MRL1	Ribosomal protein L1
NeuB	NeuB family
PUL	PUL domain
PUD	Bacterial pullanase-associated domain
PUF	Pumilio-family RNA binding repeat
PUA	PUA domain
PUB	PUB domain
Nse4	Nse4
Nse5	DNA repair proteins Nse5 and Nse6
BAR	BAR domain
BAP	Basal layer antifungal peptide (BAP)
BAF	Barrier to autointegration factor
BAG	BAG domain
BAH	BAH domain
DUF485	Protein of unknown function, DUF485
DUF484	Protein of unknown function, DUF484
DUF486	Protein of unknown function, DUF486
DUF481	Protein of unknown function, DUF481
DUF480	Protein of unknown function, DUF480
DUF483	Protein of unknown function (DUF483)
DUF482	Protein of unknown function, DUF482
DUF489	Protein of unknown function (DUF489)
DUF488	Protein of unknown function, DUF488
DUF2592	Protein of unknown function (DUF2592)
DUF2593	Protein of unknown function (DUF2593)
DUF2590	Protein of unknown function (DUF2590)
DUF2591	Protein of unknown function (DUF2591)
DUF2597	Protein of unknown function (DUF2597)
DUF2594	Protein of unknown function (DUF2594)
HRDC	HRDC domain
STN	Secretin and TonB N terminus short domain
DUF2599	Protein of unknown function (DUF2599)
TOBE	TOBE domain
ACBP	Acyl CoA binding protein
SOUL	SOUL heme-binding protein
Vps4	Vps4 C terminal oligomerisation domain
DUF739	Protein of unknown function (DUF739)
DUF737	Protein of unknown function (DUF737)
DUF736	Protein of unknown function (DUF736)
DUF735	Protein of unknown function (DUF735)
DUF733	Protein of unknown function (DUF733)
DUF732	Protein of unknown function (DUF732)
DUF730	Protein of unknown function (DUF730)
DUF39	Domain of unknown function DUF39
DUF2378	Protein of unknown function (DUF2378)
DUF2379	Protein of unknown function (DUF2379)
DUF2376	Conserved hypothetical phage protein (DUF2376)
LIM	LIM domain
DUF2374	Protein  of unknown function (Duf2374)
DUF2375	Protein of unknown function (DUF2375)
DUF35	DUF35 OB-fold domain|Rubredoxin-like zinc ribbon domain (DUF35_N)
DUF2373	Uncharacterised conserved protein (DUF2373)
DUF2370	Protein of unknown function (DUF2370)
DUF2371	Uncharacterised conserved protein (DUF2371)
KA1	Kinase associated domain 1
TPPII	Tripeptidyl peptidase II |Tripeptidyl peptidase II N terminal
LIP	Secretory lipase 
DUF4402	Domain of unknown function (DUF4402)
DUF4403	Domain of unknown function (DUF4403)
ApoO	Apolipoprotein O
ApoL	Apolipoprotein L
ApoM	Apolipoprotein M (ApoM)
DUF4400	Domain of unknown function (DUF4400)
DUF4401	Domain of unknown function (DUF4401)
DUF4406	Domain of unknown function (DUF4406)
DIRP	DIRP
CitMHS	Citrate transporter
DUF4404	Domain of unknown function (DUF4404)
DUF4405	Domain of unknown function (DUF4405)
PASTA	PASTA domain
DUF3979	Protein of unknown function (DUF3979)
DUF3978	Protein of unknown function (DUF3978)
DUF3977	Protein of unknown function (DUF3977)
DUF3976	Domain of unknown function (DUF3976)
DUF3975	Protein of unknown function (DUF3975)
DUF3974	Domain of unknown function (DUF3974)
DUF3973	Domain of unknown function (DUF3973)
DUF3972	Protein of unknown function (DUF3972) 
DUF3971	Protein of unknown function
DUF3970	Protein of unknown function (DUF3970)
DUF1221	Protein of unknown function (DUF1221)
UPF0086	Domain of unknown function UPF0086
UPF0081	Uncharacterised protein family (UPF0081)
YflT	Heat induced stress protein YflT
RHS	RHS protein
DUF1223	Protein of unknown function (DUF1223)
DUF867	Protein of unknown function (DUF867)
DUF866	Eukaryotic protein of unknown function (DUF866)
DUF865	Herpesvirus-7 repeat of unknown function (DUF865)
KAP	Kinesin-associated protein (KAP)
DUF863	Plant protein of unknown function (DUF863)
DUF862	PPPDE putative peptidase domain
PDE8	PDE8 phosphodiesterase
RHD	Rel homology domain (RHD)
DUF869	Plant protein of unknown function (DUF869)
DUF868	Plant protein of unknown function (DUF868)
cobW	CobW/HypB/UreG, nucleotide-binding domain
DUF1229	Protein of unknown function (DUF1229)
PEPCK	Phosphoenolpyruvate carboxykinase
ComC	COMC family
SAP30	SAP30 zinc-finger
CNP1	CNP1-like family
HEM4	Uroporphyrinogen-III synthase HemD
YhfT	Protein of unknown function
ICMT	Isoprenylcysteine carboxyl methyltransferase (ICMT) family 
YihI	Der GTPase activator (YihI)
RdgC	Putative exonuclease, RdgC
ATG	ATG C terminal domain
ATE	Arginine-tRNA-protein transferase, C terminus|Arginine-tRNA-protein transferase, N terminus
GKAP	Guanylate-kinase-associated protein (GKAP) protein
DUF2416	Protein of unknown function (DUF2416)
DUF2947	Protein of unknown function (DUF2947)
SUV3	Mitochondrial degradasome RNA helicase subunit C terminal
DUF2414	Protein of unknown function (DUF2414)
MNNL	N terminus of Notch ligand
EMA	Merozoite Antigen
vMSA	Major surface antigen from hepadnavirus
DUF134	Protein of unknown function  DUF134
DUF137	Protein of unknown function DUF137
DUF131	Protein of unknown function DUF131
DUF928	Domain of Unknown Function (DUF928)
AKNA	AT-hook-containing transcription factor
DUF1610	Domain of unknown function (DUF1610)
DUF1611	Protein of unknown function (DUF1611)
DUF1612	Protein of unknown function (DUF1612)
DUF1614	Protein of unknown function (DUF1614)
DUF1615	Protein of unknown function (DUF1615)
DUF1616	Protein of unknown function (DUF1616)
DUF1617	Protein of unknown function (DUF1617)
DUF1618	Protein of unknown function (DUF1618)
DUF1619	Protein of unknown function (DUF1619)
HYPF	HypF finger
RNHCP	RNHCP domain
DUF3144	Protein of unknown function (DUF3144)
RIB43A	RIB43A
DUF3145	Protein of unknown function (DUF3145)
DUF3142	Protein of unknown function (DUF3142)
Glutaredoxin2	Glutaredoxin 2, C terminal domain
CART	Cocaine and amphetamine regulated transcript protein (CART)
DUF3411	Domain of unknown function (DUF3411)
DUF3412	Domain of unknown function (DUF3412)
DUF3413	Domain of unknown function (DUF3413)
NERD	Nuclease-related domain
CARD	Caspase recruitment domain
DUF258	Protein of unknown function, DUF258
DUF255	Protein of unknown function, DUF255
DUF257	Pyrococcus protein of unknown function, DUF257
SepZ	SepZ
DUF1928	Domain of unknown function (DUF1928)
DUF1929	Domain of unknown function (DUF1929)
DUF1926	Domain of unknown function (DUF1926)
DUF1927	Bacterial Ig-like domain (DUF1927)
DUF1924	Domain of unknown function (DUF1924)
DUF1925	Domain of unknown function (DUF1925)
DUF1922	Domain of unknown function (DUF1922)
DUF1923	Domain of unknown function (DUF1923)
DUF1921	Domain of unknown function (DUF1921)
Trs65	TRAPP trafficking subunit Trs65
HalX	HalX domain
YfaZ	YfaZ precursor
