Pfam keyword	Pfam term
MgtE	Divalent cation transporter|MgtE intracellular N domain
FIBP	Acidic fibroblast growth factor binding (FIBP) 
VPS11	Vacuolar protein sorting protein 11 C terminal
DUF4006	Family of unknown function (DUF4006)
DUF4007	Protein of unknown function (DUF4007)
DUF4004	Protein of unknown function (DUF4004)
DUF4005	Protein of unknown function (DUF4005)
DUF4002	Protein of unknown function (DUF4002)
DUF4003	Protein of unknown function (DUF4003)
DUF4001	Protein of unknown function (DUF4001)
TfoX	TfoX C-terminal domain|TfoX N-terminal domain
SKN1	Beta-glucan synthesis-associated protein (SKN1)
DUF4008	Domain of unknown function (DUF4008)
DUF4009	Domain of unknown function (DUF4009)
DUF1780	Protein of unknown function (DUF1780)
DUF1786	Putative pyruvate format-lyase activating enzyme (DUF1786)
DUF1785	Domain of unknown function (DUF1785)
DUF1788	Domain of unknown function (DUF1788)
DUF1789	Domain of unknown function (DUF1789)
EcoR124	Type I restriction and modification enzyme - subunit R C terminal
LolB	Outer membrane lipoprotein LolB
LolA	Outer membrane lipoprotein carrier protein LolA
TPD52	Tumour protein D52 family
DUF1863	MTH538 TIR-like domain (DUF1863)
DUF4262	Domain of unknown function (DUF4262)
DUF4263	Domain of unknown function (DUF4263)
DUF4260	Domain of unknown function (DUF4260)
DUF4261	Domain of unknown function (DUF4261)
CLN3	CLN3 protein
DUF4267	Domain of unknown function (DUF4267)
DUF4264	Protein of unknown function (DUF4264)
DUF4265	Domain of unknown function (DUF4265)
DUF4268	Domain of unknown function (DUF4268)
DUF4269	Domain of unknown function (DUF4269)
DUF1569	Protein of unknown function (DUF1569)
DUF1566	Protein of unknown function (DUF1566)
DUF1567	Protein of unknown function (DUF1567)
DUF1564	Protein of unknown function (DUF1564)
DUF1565	Protein of unknown function (DUF1565)
DUF1562	Protein of unknown function (DUF1562)
DUF1563	Protein of unknown function (DUF1563)
DUF1560	Protein of unknown function (DUF1560)
DUF1561	Protein of unknown function (DUF1561)
DTHCT	DTHCT (NUC029) region
NLBH	Neuraminyllactose-binding hemagglutinin precursor (NLBH)
FcoT	FcoT-like thioesterase domain
RloB	RloB-like protein
BRCT	BRCA1 C Terminus (BRCT) domain
Utp21	Utp21 specific WD40 associated putative domain 
DHQS	3-dehydroquinate synthase (EC 4.6.1.3)
SF3b1	Splicing factor 3B subunit 1
PORR	Plant organelle RNA recognition domain
SKI	Shikimate kinase
Nop25	Nucleolar protein 12 (25kDa)
MoaF	Molybdenum cofactor biosynthesis protein F
MoaE	MoaE protein
MoaC	MoaC family
TCP	TCP family transcription factor
GED	Dynamin GTPase effector domain
DDR	Diol dehydratase reactivase ATPase-like domain
TPX2	Targeting protein for Xklp2 (TPX2)
DDT	DDT domain
HDOD	HDOD domain
HisG	ATP phosphoribosyltransferase|HisG, C-terminal domain
PalH	PalH/RIM21
Erg28	Erg28 like protein
PsbM	Photosystem II reaction centre M protein (PsbM)
PsbL	PsbL protein
SPT16	FACT complex subunit (SPT16/CDC68)
PsbN	Photosystem II reaction centre N protein (psbN)
PsbI	Photosystem II reaction centre I protein (PSII 4.8 kDa protein)
PsbH	Photosystem II 10 kDa phosphoprotein
PsbK	Photosystem II 4 kDa reaction centre component
PsbJ	PsbJ
PsbU	Photosystem II 12 kDa extrinsic protein (PsbU)
PsbT	Photosystem II reaction centre T protein
PsbW	Photosystem II reaction centre W protein (PsbW)
PsbQ	Oxygen evolving enhancer protein 3 (PsbQ)
PsbP	PsbP
GxGYxYP	GxGYxY sequence motif in domain of unknown function
PsbY	Photosystem II protein Y (PsbY)
PsbX	Photosystem II reaction centre X protein (PsbX)
RIO1	RIO1 family
LCD1	DNA damage checkpoint protein
DUF789	Protein of unknown function (DUF789)
DUF787	Borrelia burgdorferi protein of unknown function (DUF787)
SprT	SprT-like family
DUF782	Circovirus protein of unknown function (DUF782)
DUF780	Caenorhabditis elegans protein of unknown function (DUF780)
DUF781	Mouse protein of unknown function (DUF781)
TniQ	TniQ
SprA	Motility related/secretion protein
HET	Heterokaryon incompatibility protein (HET)
NDK	Nucleoside diphosphate kinase
DinB	DinB family
DinI	DinI-like family
VirC1	VirC1 protein
TRAF	TRAF-type zinc finger
TRAM	TRAM domain
DUF2523	Protein of unknown function (DUF2523)
DUF2522	Protein of unknown function (DUF2522)
DUF2521	Protein of unknown function (DUF2521)
DUF2520	Domain of unknown function (DUF2520)
DUF2527	Protein of unknown function (DUF2627) 
DUF2526	Protein of unknown function (DUF2526)   
DUF2525	Protein of unknown function (DUF2525)
DUF2524	Protein of unknown function (DUF2524)
DUF2529	Protein of unknown function (DUF2529)
DUF2528	Protein of unknown function (DUF2528) 
DUF3692	CRISPR-associated protein 
CopC	CopC domain
DUF3922	Protein of unknown function (DUF3992)
DUF3923	Protein of unknown function (DUF3923)
DUF3924	Protein of unknown function (DUF3924)
DUF3697	Ubiquitin-associated protein 2 
DUF3694	Kinesin protein 
DUF3927	Protein of unknown function (DUF3927)
DUF3928	Protein of unknown function (DUF3928)
DUF3929	Protein of unknown function (DUF3929)
DUF3698	Protein of unknown function (DUF3698) 
DUF3699	Protein of unknown function (DUF3699) 
CaMBD	Calmodulin binding domain
RNPHF	RNPHF zinc finger
CBP	Fungal calcium binding protein
Rad54	Rad54 N terminal
Rad51	Rad51
NUC194	NUC194 domain
DUF3078	Protein of unknown function (DUF3078)
DUF3079	Protein of unknown function (DUF3079)
DUF3077	Protein of unknown function (DUF3077)
DUF3074	Protein of unknown function (DUF3074)
DUF3072	Protein of unknown function (DUF3072)
DUF3073	Protein of unknown function (DUF3073)
DUF3070	Protein of unknown function (DUF3070)
DUF3071	Protein of unknown function (DUF3071)
SVA	Seminal vesicle autoantigen (SVA)
LrgB	LrgB-like family 
LrgA	LrgA family
CBM49	Carbohydrate binding domain CBM49
ApbE	ApbE family
ApbA	Ketopantoate reductase PanE/ApbA|Ketopantoate reductase PanE/ApbA C terminal
OapA	Opacity-associated protein A LysM-like domain|Opacity-associated protein A N-terminal motif
DUF1434	Protein of unknown function (DUF1434)
DUF1343	Protein of unknown function (DUF1343)
DUF1340	Protein of unknown function (DUF1340)
DUF1341	Protein of unknown function (DUF1341)
DUF1431	Protein of unknown function (DUF1431)
MRC1	MRC1-like domain
CHMI	5-carboxymethyl-2-hydroxymuconate isomerase
DUF1433	Protein of unknown function (DUF1433)
nlz1	NocA-like zinc-finger protein 1
Sec20	Sec20
NOSIC	NOSIC (NUC001) domain
SspN	Small acid-soluble spore protein N family
SspO	Small acid-soluble spore protein O family
SspK	Small acid-soluble spore protein K family
SspH	Small acid-soluble spore protein H family
DUF1438	Protein of unknown function (DUF1438)
SspB	Stringent starvation protein B
SF3b10	Splicing factor 3B subunit 10 (SF3b10)
UAA	UAA transporter family
DUF148	Domain of unknown function DUF148
SspP	Small acid-soluble spore protein P family
SPC22	Signal peptidase subunit
DUF58	Protein of unknown function DUF58
SPC25	Microsomal signal peptidase 25 kDa subunit (SPC25)
DUF304	Bacterial PH domain
DUF208	Uncharacterized BCR, COG1636
DUF202	Domain of unknown function (DUF202)
DUF204	Domain of unknown function DUF
PROCN	PROCN (NUC071) domain
DUF1999	Protein of unknown function (DUF1999)
DUF1998	Domain of unknown function (DUF1998)
DUF1997	Protein of unknown function (DUF1997)
DUF1996	Domain of unknown function (DUF1996)
DUF1995	Domain of unknown function (DUF1995)
DUF1993	Domain of unknown function (DUF1993)
DUF1992	Domain of unknown function (DUF1992)
DUF1990	Domain of unknown function (DUF1990)
SRP14	Signal recognition particle 14kD protein
PROCT	PROCT (NUC072) domain
SRP19	SRP19 protein
EzrA	Septation ring formation regulator, EzrA 
DUF1196	Protein of unknown function (DUF1196)
DUF1195	Protein of unknown function (DUF1195)
DUF1194	Protein of unknown function (DUF1194)
DUF1193	Protein of unknown function (DUF1193)
DUF1192	Protein of unknown function (DUF1192)
DUF1191	Protein of unknown function (DUF1191)
DUF1190	Protein of unknown function (DUF1190)
DUF1199	Protein of unknown function (DUF1199)
DUF1198	Protein of unknown function (DUF1198)
YajC	Preprotein translocase subunit
Spherulin4	Spherulation-specific family 4
YbhQ	Putative inner membrane protein YbhQ
PknH	PknH-like extracellular domain
YgbB	YgbB family
ComX	Bacillus competence pheromone ComX
ComZ	ComZ
MipA	MltA-interacting protein MipA
SlyX	SlyX
MipZ	ATPase MipZ
DUF1220	Repeat of unknown function (DUF1220)
ComK	ComK protein
ComJ	Competence protein J (ComJ)
CsiD	CsiD
DUF1227	Protein of unknown function (DUF1227)
FlgD	Flagellar hook capping protein - N-terminal region
ComA	(2R)-phospho-3-sulfolactate synthase (ComA)
DUF1228	Protein of unknown function (DUF1228)
FlgI	Flagellar P-ring protein
FlgH	Flagellar L-ring protein
FlgN	FlgN protein
FlgM	Anti-sigma-28 factor, FlgM
GtrA	GtrA-like protein
MUG2	Meiotically up-regulated glycoproteins C-terminal
WAPL	Wings apart-like protein regulation of heterochromatin
DUF1391	Protein of unknown function (DUF1391)
AMOP	AMOP domain
TylF	Macrocin-O-methyltransferase (TylF)
YopX	YopX protein
RbcS	Ribulose-1,5-bisphosphate carboxylase small subunit
VHP	Villin headpiece domain
VHS	VHS domain
VHL	von Hippel-Lindau disease tumour suppressor protein
DUF1390	Protein of unknown function (DUF1390)
Cas6	Cas6 Crispr
YopD	YopD protein
YopE	Yersinia virulence determinant (YopE)|YopE, N terminal
YopH	YopH, N-terminal
YopJ	YopJ Serine/Threonine acetyltransferase
CDKN3	Cyclin-dependent kinase inhibitor 3 (CDKN3)
LSM14	Scd6-like Sm domain
DeoRC	DeoR C terminal sensor domain
TAS2R	Mammalian taste receptor protein (TAS2R)
KIAA1430	KIAA1430 homologue
DsbC	Disulphide bond corrector protein DsbC|Disulfide bond isomerase protein N-terminus
DsbB	Disulfide bond formation protein DsbB
DsbD	Cytochrome C biogenesis protein transmembrane region
DUF3263	Protein of unknown function (DUF3263)
DUF3262	Protein of unknown function (DUF3262)
DUF3261	Protein of unknown function (DUF3261)
DUF3260	Protein of unknown function (DUF3260)
DUF3267	Protein of unknown function (DUF3267)
DUF3265	Protein of unknown function (DUF3265)
DUF3269	Protein of unknown function (DUF3269)
DUF3268	Protein of unknown function (DUF3268)
ORC2	Origin recognition complex subunit 2 
Prox1	Homeobox prospero-like protein (PROX1)
TcpF	Vibrio cholerae toxin co-regulated pilus biosynthesis protein F
ORC3	Origin recognition complex (ORC) subunit 3 N-terminus
PBAN	Pheromone biosynthesis activating neuropeptide (PBAN)
ArgJ	ArgJ family
ArgK	ArgK protein
AFOR	Aldehyde ferredoxin oxidoreductase, domains 2 & 3|Aldehyde ferredoxin oxidoreductase, N-terminal domain
LuxE	Acyl-protein synthetase, LuxE
LuxC	Acyl-CoA reductase (LuxC)
GXGXG	GXGXG motif
MOFRL	MOFRL family
LuxS	S-Ribosylhomocysteinase (LuxS)
WRC	WRC
MreC	rod shape-determining protein MreC
MreD	rod shape-determining protein MreD
Med2	Mediator complex subunit 2
Med3	Mediator complex subunit 3 fungal
DUF3485	Protein of unknown function (DUF3485)
Med1	Mediator of RNA polymerase II transcription subunit 1
Med6	MED6 mediator sub complex component
Med7	MED7 protein
Med4	Vitamin-D-receptor interacting Mediator subunit 4
Med5	Mediator complex subunit Med5
SWIRM	SWIRM domain
Med8	Mediator of RNA polymerase II transcription complex subunit 8
Med9	RNA polymerase II transcription mediator complex subunit 9
DUF3489	Protein of unknown function (DUF3489)
DUF3488	Domain of unknown function (DUF3488)
UvrB	Ultra-violet resistance protein B
DUF4060	Protein of unknown function (DUF4060)
DUF4061	Domain of unknown function (DUF4061)
DUF4062	Domain of unknown function (DUF4062)
DUF4063	Protein of unknown function (DUF4063)
DUF4064	Protein of unknown function (DUF4064)
DUF4065	Protein of unknown function (DUF4065)
DUF4066	Putative amidotransferase
PAD	Protein-arginine deiminase (PAD)|Protein-arginine deiminase (PAD) N-terminal domain
ASCH	ASCH domain
DUF1768	Domain of unknown function (DUF1768)
DUF4181	Domain of unknown function (DUF4181)
DUF1764	Eukaryotic protein of unknown function (DUF1764)
DUF1765	Protein of unknown function (DUF1765)
DUF1767	Domain of unknown function (DUF1767)
DUF1761	Protein of unknown function (DUF1761)
DUF1762	Protein of unknown function (DUF1762)
DUF4288	Domain of unknown function (DUF4288)
DUF4289	Domain of unknown function (DUF4289)
DMAP1	DNA methyltransferase 1-associated protein 1 (DMAP1)
DUF4284	Domain of unknown function (DUF4284)
DUF4285	Domain of unknown function (DUF4285)
DUF4286	Domain of unknown function (DUF4286)
DUF4287	Domain of unknown function (DUF4287)
DUF4280	Domain of unknown function (DUF4280)
DUF4281	Domain of unknown function (DUF4281)
DUF4282	Domain of unknown function (DUF4282)
DUF4283	Domain of unknown function (DUF4283)
DUF1508	Domain of unknown function (DUF1508)
FTP	Fungalysin/Thermolysin Propeptide Motif
FTR	Formylmethanofuran-tetrahydromethanopterin formyltransferase|FTR, proximal lobe
DUF1500	Protein of unknown function (DUF1500)
DUF1501	Protein of unknown function (DUF1501)
DUF1502	Repeat of unknown function (DUF1502)
FTZ	Fushi tarazu (FTZ), N-terminal region
DUF1504	Protein of unknown function (DUF1504)
DUF1505	Protein of unknown function (DUF1505)
DUF1506	Protein of unknown function (DUF1506)
DUF1507	Protein of unknown function (DUF1507)
SCAMP	SCAMP family
FTH	FTH domain
Omp28	Outer membrane protein Omp28
DehI	Halocarboxylic acid dehydrogenase DehI
MARVEL	Membrane-associating domain
SMP	Seed maturation protein
FA	FERM adjacent (FA)
FF	FF domain
SMC	RecF/RecN/SMC N terminal domain
MDH	Methanol dehydrogenase beta subunit
NicO	High-affinity nickel-transport protein
DUF1869	Domain of unknown function (DUF1869)
GCIP	Grap2 and cyclin-D-interacting
DFP	DNA / pantothenate metabolism flavoprotein
US22	US22 like
DUF1864	Domain of unknown function (DUF1864)
DUF418	Protein of unknown function (DUF418)
DUF419	Protein of unknown function (DUF419)
DUF416	Protein of unknown function (DUF416)
DUF417	Protein of unknown function, DUF417
DUF412	Protein of unknown function, DUF412
DUF413	Protein of unknown function, DUF
DUF410	Protein of unknown function (DUF410) 
DUF411	Protein of unknown function, DUF
DUF1861	Protein of unknown function (DUF1861)
PyrI	Aspartate carbamoyltransferase regulatory chain, allosteric domain|Aspartate carbamoyltransferase regulatory chain, metal binding domain
Ycf66	Ycf66 protein N-terminus
DUF1860	Domain of unknown function (DUF1860)
TerD	Bacterial stress protein
TerB	Tellurite resistance protein TerB
EI24	Etoposide-induced protein 2.4 (EI24)
BAALC	BAALC N-terminus
BH4	Bcl-2 homology region 4
Gpi1	N-acetylglucosaminyl transferase component (Gpi1)
DUF807	Coxiella burnetii protein of unknown function (DUF807)
ABM	Antibiotic biosynthesis monooxygenase
DUF3554	Domain of unknown function (DUF3554)
DUF3557	Domain of unknown function (DUF3557)
DUF3556	Transmembrane protein of unknown function (DUF3556)
DUF3551	Protein of unknown function (DUF3551)
Gp49	Phage derived protein Gp49-like (DUF891)
DUF3550	Protein of unknown function (DUF3550/UPF0682)
MdoG	Periplasmic glucan biosynthesis protein, MdoG
DUF2509	Protein of unknown function (DUF2509) 
DUF2508	Protein of unknown function (DUF2508)
DUF2059	Uncharacterized protein conserved in bacteria (DUF2059)
DUF2058	Uncharacterized protein conserved in bacteria (DUF2058)
DUF2057	Uncharacterized protein conserved in bacteria (DUF2057)
DUF2507	Protein of unknown function (DUF2507)
DUF2054	Uncharacterized conserved protein (DUF2054)
DUF2053	Predicted membrane protein (DUF2053)
DUF2052	Coiled-coil domain containing protein (DUF2052)
DUF2051	Double stranded RNA binding protein (DUF2051)
DUF2502	Protein of unknown function (DUF2502)
DUF3908	Protein of unknown function (DUF3908)
DUF3909	Protein of unknown function (DUF3909)
DUF3678	Protein of unknown function (DUF3678) 
DUF3679	Protein of unknown function (DUF3679) 
DUF3674	RNA dependent RNA polymerase
DUF3903	Domain of unknown function (DUF3903)
DUF3900	Protein of unknown function (DUF3900)
DUF3901	Protein of unknown function (DUF3901)
DUF3906	Protein of unknown function (DUF3906)
DUF3907	Protein of unknown function (DUF3907)
DUF3904	Protein of unknown function (DUF3904)
DUF3905	Protein of unknown function (DUF3905)
UPF0016	Uncharacterized protein family UPF0016
UPF0014	Uncharacterised protein family (UPF0014)
SAYSvFN	Uncharacterized conserved domain (SAYSvFN)
Gar1	Gar1/Naf1 RNA binding region
DUF3018	Protein  of unknown function (DUF3018)
DUF3019	Protein of unknown function (DUF3019)
R3H	R3H domain
Kri1	KRI1-like family|KRI1-like family C-terminal
IFT57	Intra-flagellar transport protein 57  
DUF3010	Protein of unknown function (DUF3010)
DUF3011	Protein of unknown function (DUF3011)
